user_id,week,plank_seconds,situps,pushups,squats
9,3,80,6,9,20
9,4,80,6,9,22
9,5,82,7,9,21
9,6,87,7,10,23
9,7,90,8,10,24
9,8,85,7,10,23
9,9,91,7,10,24
9,10,97,8,10,25
9,11,97,8,11,27
10,0,43,2,5,6
10,1,44,2,5,7
10,2,46,2,5,7
10,3,50,2,6,8
10,4,53,3,6,7
10,5,56,2,7,9
10,6,59,3,7,8
10,7,62,2,8,8
10,8,47,3,5,7
10,9,69,3,9,10
10,10,69,4,8,10
10,11,71,3,8,9
11,0,93,10,23,20
11,1,99,11,24,21
11,2,98,11,25,21
11,3,100,11,25,22
11,4,71,8,18,16
11,5,111,13,26,24
11,6,107,12,26,23
11,7,109,12,27,24
11,8,78,9,20,17
11,9,117,13,28,26
11,10,110,13,28,26
11,11,117,13,28,25
12,0,73,3,10,19
12,1,79,4,11,20
12,2,80,3,11,20
12,3,84,4,11,21
12,4,79,3,11,21
12,5,86,3,11,22
12,6,93,4,13,23
12,7,92,3,14,23
12,8,69,3,9,18
12,9,106,4,14,27
12,10,78,3,11,19
12,11,108,4,15,28
13,0,39,2,5,6
13,1,40,2,6,7
13,2,41,2,5,7
13,3,45,3,7,8
13,4,47,2,6,8
13,5,54,3,7,9
13,6,54,3,7,9
13,7,57,3,7,10
13,8,42,2,5,7
13,9,59,3,7,10
13,10,45,2,5,8
13,11,65,4,9,12
14,0,47,2,5,10
14,1,48,2,5,10
14,2,53,2,5,11
14,3,53,2,6,12
14,4,58,2,6,12
14,5,64,3,7,12
14,6,63,3,7,13
14,7,65,3,6,14
14,8,47,2,5,9
14,9,71,3,7,15
14,10,77,3,8,16
14,11,80,4,8,16
15,0,42,1,5,6
15,1,44,1,6,6
15,2,44,1,5,7
15,3,47,1,6,7
15,4,49,2,6,7
15,5,37,1,5,6
15,6,41,2,5,6
15,7,59,2,7,8
15,8,44,2,5,6
15,9,68,2,8,10
15,10,62,2,7,9
15,11,74,2,8,11
16,0,40,2,4,7
16,1,41,2,4,7
16,2,46,2,4,8
16,3,48,1,5,8
16,4,38,1,3,6
16,5,59,2,5,9
16,6,59,1,7,10
16,7,60,2,7,10
16,8,44,2,5,8
16,9,68,2,7,12
16,10,71,1,7,12
16,11,74,1,7,13
17,0,68,4,10,16
17,1,71,5,9,16
17,2,73,5,10,17
17,3,75,5,10,18
17,4,71,5,10,18
17,5,77,5,11,18
17,6,55,4,8,13
17,7,82,5,11,19
17,8,78,6,11,19
17,9,82,5,11,19
17,10,86,6,12,21
17,11,89,7,12,20
18,0,38,2,5,9
18,1,41,2,6,10
18,2,42,3,5,10
18,3,47,3,7,11
18,4,47,3,6,11
18,5,38,2,5,9
18,6,52,3,7,12
18,7,56,3,8,14
18,8,65,3,8,14
18,9,65,3,8,15
18,10,73,3,10,17
18,11,74,4,9,18
19,0,40,2,5,8
19,1,38,2,5,8
19,2,44,2,6,9
19,3,45,3,6,10
19,4,51,3,6,9
19,5,55,2,6,11
19,6,54,2,6,11
19,7,58,3,7,11
19,8,58,3,7,13
19,9,65,3,8,14
19,10,65,4,9,15
19,11,68,4,9,14
20,0,62,3,8,13
20,1,62,4,8,14
20,2,66,5,8,14
20,3,67,4,8,15
20,4,72,4,9,16
20,5,74,5,9,16
20,6,73,4,9,16
20,7,75,5,10,16
20,8,55,3,7,12
20,9,85,6,10,18
20,10,58,3,8,13
20,11,88,5,11,20
21,0,46,2,7,10
21,1,50,1,8,12
21,2,52,2,8,12
21,3,61,2,8,14
21,4,43,1,6,10
21,5,66,2,10,15
21,6,73,1,10,17
21,7,74,2,11,17
21,8,77,1,11,17
21,9,81,1,13,19
21,10,88,2,12,20
21,11,90,2,14,21
22,0,47,2,4,10
22,1,52,2,4,12
22,2,53,2,4,11
22,3,58,2,4,13
22,4,60,1,5,13
22,5,47,2,3,10
22,6,70,2,5,15
22,7,65,2,6,15
22,8,73,2,6,15
22,9,78,2,6,18
22,10,54,2,4,12
22,11,83,1,6,18
23,0,31,2,7,10
23,1,34,2,7,12
23,2,37,1,9,12
23,3,38,2,8,14
23,4,43,1,9,15
23,5,45,2,9,15
23,6,47,2,10,16
23,7,46,2,10,16
23,8,51,2,10,18
23,9,57,1,12,18
23,10,56,1,14,21
23,11,62,2,13,21
24,0,40,2,5,11
24,1,44,2,4,11
24,2,50,3,4,12
24,3,50,3,5,14
24,4,40,1,4,10
24,5,57,3,6,15
24,6,46,2,5,13
24,7,66,3,7,17
24,8,70,3,7,18
24,9,77,4,7,19
24,10,80,4,8,20
24,11,82,4,7,21
25,0,75,5,12,14
25,1,78,5,12,15
25,2,83,6,12,16
25,3,85,5,13,16
25,4,78,5,12,15
25,5,85,5,13,16
25,6,63,4,9,12
25,7,89,5,13,17
25,8,91,6,15,17
25,9,96,7,16,19
25,10,94,6,14,18
25,11,93,6,15,18
26,0,34,1,4,10
26,1,37,2,4,12
26,2,40,2,4,13
26,3,44,2,5,14
26,4,45,2,5,14
26,5,51,2,6,15
26,6,52,1,6,16
26,7,56,2,6,17
26,8,40,2,4,12
26,9,66,1,7,20
26,10,66,2,7,20
26,11,66,2,8,22
27,0,56,5,11,12
27,1,58,6,12,12
27,2,60,5,12,12
27,3,62,5,13,12
27,4,67,5,13,14
27,5,66,7,14,14
27,6,68,6,14,13
27,7,70,6,15,16
27,8,70,6,16,15
27,9,76,7,16,16
27,10,80,7,17,17
27,11,75,6,16,16
28,0,76,4,11,17
28,1,77,4,11,18
28,2,83,5,12,19
28,3,87,5,13,20
28,4,88,5,14,21
28,5,65,4,10,16
28,6,101,6,15,22
28,7,108,6,16,23
28,8,104,5,16,24
28,9,104,5,15,23
28,10,115,5,17,25
28,11,119,6,18,26
29,0,42,2,7,10
29,1,46,2,8,12
29,2,52,1,8,14
29,3,53,1,9,14
29,4,42,2,7,10
29,5,65,2,9,15
29,6,44,2,7,10
29,7,68,1,12,18
29,8,77,2,12,19
29,9,81,2,14,19
29,10,60,2,9,14
29,11,87,2,14,21
30,0,51,2,12,14
30,1,54,3,13,15
30,2,58,3,14,16
30,3,58,4,13,15
30,4,62,4,14,17
30,5,66,4,15,18
30,6,65,4,16,17
30,7,70,3,17,18
30,8,70,5,17,19
30,9,72,4,16,20
30,10,55,3,13,15
30,11,78,4,19,22
31,0,37,2,5,7
31,1,41,1,6,8
31,2,41,1,7,7
31,3,45,2,7,8
31,4,49,2,7,9
31,5,38,2,6,6
31,6,54,2,8,9
31,7,58,2,9,10
31,8,60,2,9,10
31,9,64,2,10,11
31,10,69,2,11,12
31,11,73,2,11,13
32,0,42,2,5,8
32,1,44,2,7,8
32,2,47,2,7,9
32,3,47,2,7,8
32,4,50,3,7,9
32,5,55,3,7,10
32,6,58,3,8,10
32,7,56,3,8,11
32,8,60,3,8,12
32,9,61,3,9,12
32,10,65,4,9,12
32,11,67,3,10,13
33,0,103,9,22,25
33,1,113,9,23,25
33,2,116,9,23,25
33,3,116,11,24,27
33,4,88,7,18,21
33,5,122,9,24,27
33,6,129,10,27,29
33,7,134,10,26,29
33,8,136,12,28,32
33,9,135,11,28,31
33,10,103,8,20,25
33,11,143,11,28,34
34,0,97,7,15,19
34,1,100,7,16,20
34,2,98,6,16,21
34,3,100,7,16,21
34,4,76,6,12,15
34,5,108,8,17,21
34,6,107,7,16,22
34,7,102,7,18,22
34,8,111,7,17,21
34,9,111,7,18,23
34,10,112,7,18,24
34,11,121,8,19,23
35,0,72,3,13,13
35,1,79,3,13,13
35,2,76,3,13,13
35,3,79,3,15,14
35,4,81,4,14,14
35,5,59,3,9,10
35,6,83,3,15,14
35,7,95,3,16,16
35,8,89,4,16,16
35,9,99,4,17,17
35,10,67,3,11,11
35,11,103,4,18,18
36,0,45,2,5,7
36,1,49,1,5,8
36,2,52,2,5,8
36,3,58,2,6,10
36,4,60,2,7,11
36,5,49,1,5,8
36,6,76,2,7,12
36,7,74,1,7,13
36,8,83,2,8,14
36,9,82,2,8,14
36,10,91,1,10,14
36,11,93,1,9,15
37,0,34,2,7,11
37,1,33,2,6,11
37,2,34,2,7,12
37,3,38,2,7,14
37,4,41,2,7,13
37,5,43,2,7,14
37,6,32,2,6,11
37,7,48,3,9,16
37,8,37,3,7,12
37,9,55,3,10,18
37,10,59,3,11,19
37,11,59,3,11,20
38,0,57,5,12,11
38,1,63,6,13,12
38,2,64,7,15,13
38,3,68,6,14,13
38,4,50,4,11,9
38,5,71,7,15,13
38,6,75,8,15,15
38,7,78,8,17,16
38,8,59,5,14,11
38,9,86,8,19,16
38,10,93,9,19,18
38,11,88,9,20,19
39,0,34,2,5,8
39,1,36,2,5,8
39,2,37,2,5,8
39,3,38,2,6,8
39,4,40,2,6,10
39,5,44,3,6,10
39,6,45,3,6,10
39,7,48,2,7,11
39,8,35,2,4,8
39,9,53,3,8,12
39,10,57,3,9,12
39,11,59,4,8,13
40,0,35,2,2,10
40,1,39,1,3,10
40,2,41,2,4,12
40,3,45,2,4,13
40,4,47,2,4,14
40,5,51,2,4,14
40,6,53,2,4,14
40,7,57,1,5,16
40,8,59,2,5,16
40,9,63,2,5,17
40,10,66,2,5,18
40,11,66,2,6,18
41,0,37,2,4,10
41,1,40,2,4,11
41,2,42,2,4,11
41,3,44,3,4,11
41,4,47,2,6,11
41,5,36,2,4,9
41,6,56,2,5,14
41,7,57,3,6,15
41,8,61,3,6,15
41,9,64,3,7,16
41,10,62,3,7,16
41,11,70,3,7,17
42,0,30,2,5,8
42,1,29,2,5,8
42,2,33,3,6,8
42,3,36,3,6,9
42,4,37,3,6,10
42,5,28,2,4,8
42,6,45,3,7,12
42,7,43,3,7,11
42,8,43,3,7,12
42,9,46,3,7,13
42,10,51,3,8,14
42,11,53,3,9,14
43,0,80,9,21,20
43,1,82,10,22,21
43,2,83,10,23,22
43,3,84,10,23,22
43,4,61,7,17,16
43,5,89,10,24,23
43,6,88,11,23,23
43,7,87,11,25,23
43,8,86,11,24,24
43,9,88,11,26,24
43,10,90,11,26,25
43,11,98,12,26,25
44,0,37,2,5,9
44,1,42,2,6,10
44,2,46,1,6,11
44,3,47,2,7,12
44,4,49,1,8,13
44,5,39,2,5,9
44,6,55,2,9,14
44,7,63,1,10,15
44,8,66,2,10,18
44,9,69,2,10,17
44,10,51,2,8,12
44,11,72,2,11,18
45,0,56,4,9,12
45,1,61,4,9,13
45,2,61,4,10,13
45,3,67,5,11,14
45,4,70,5,11,15
45,5,71,4,12,15
45,6,80,5,12,17
45,7,79,5,12,16
45,8,80,6,13,17
45,9,87,5,14,17
45,10,88,6,14,18
45,11,87,6,14,19
46,0,32,1,3,5
46,1,35,2,4,6
46,2,40,1,3,6
46,3,41,1,4,7
46,4,46,2,3,9
46,5,35,1,4,6
46,6,37,2,3,7
46,7,59,2,5,10
46,8,41,1,3,7
46,9,62,2,6,12
46,10,66,2,5,12
46,11,68,2,6,12
47,0,65,5,10,14
47,1,65,6,12,14
47,2,67,6,12,15
47,3,68,6,11,16
47,4,52,4,8,11
47,5,51,5,10,12
47,6,80,7,13,18
47,7,78,8,13,18
47,8,82,7,13,19
47,9,85,8,14,18
47,10,88,8,14,20
47,11,90,9,15,21
48,0,60,3,10,11
48,1,66,3,12,12
48,2,71,5,12,13
48,3,74,5,13,13
48,4,55,4,10,9
48,5,52,4,9,10
48,6,58,4,10,11
48,7,88,5,15,16
48,8,65,4,11,12
48,9,96,6,17,17
48,10,100,6,17,18
48,11,100,6,17,18
49,0,41,2,5,8
49,1,47,2,6,8
49,2,47,2,6,9
49,3,54,1,7,10
49,4,60,2,8,11
49,5,58,2,8,11
49,6,64,1,9,12
49,7,72,1,9,13
49,8,75,2,10,14
49,9,77,2,10,14
49,10,55,2,7,10
49,11,85,1,11,15
