user_id,week,exercise,sets,reps_per_set,avg_rpe,volume,weighted_volume
5,0,plank_seconds,4,"[51, 50, 49, 49]",10,199,59.7
5,0,pushups,4,"[5, 5, 4, 4]",8.31,18,18
5,0,squats,4,"[11, 10, 9, 7]",10,37,25.9
5,0,situps,4,"[2, 1, 1, 1]",7.16,5,7.5
5,0,plank_seconds,4,"[51, 50, 48, 47]",10,196,58.8
5,0,pushups,4,"[6, 4, 4, 3]",8.31,17,17
5,0,squats,4,"[11, 10, 10, 8]",10,39,27.3
5,0,situps,4,"[3, 1, 1, 1]",7.16,6,9
5,0,plank_seconds,4,"[51, 49, 49, 47]",10,196,58.8
6,0,pushups,4,"[14, 13, 12, 10]",8.26,49,49
6,0,squats,4,"[28, 28, 27, 25]",10,108,75.6
6,0,situps,4,"[7, 6, 5, 4]",7.13,22,33
6,0,plank_seconds,4,"[124, 122, 120, 120]",10,486,145.8
6,0,pushups,4,"[14, 13, 11, 11]",8.26,49,49
6,0,squats,4,"[29, 27, 26, 24]",10,106,74.2
6,0,situps,4,"[6, 6, 5, 4]",7.13,21,31.5
6,0,plank_seconds,4,"[123, 121, 120, 119]",10,483,144.9
6,0,pushups,4,"[14, 12, 10, 10]",8.26,46,46
6,0,squats,4,"[28, 28, 27, 25]",10,108,75.6
6,0,situps,4,"[6, 5, 4, 4]",7.13,19,28.5
6,0,plank_seconds,4,"[122, 122, 120, 119]",10,483,144.9
7,0,pushups,4,"[5, 4, 3, 3]",8.19,15,15
7,0,squats,4,"[13, 11, 11, 9]",10,44,30.8
7,0,situps,4,"[2, 2, 1, 1]",7.09,6,9
7,0,plank_seconds,4,"[53, 52, 50, 50]",10,205,61.5
7,0,pushups,4,"[6, 5, 3, 3]",8.19,17,17
7,0,squats,4,"[13, 13, 11, 9]",10,46,32.2
7,0,situps,4,"[2, 1, 1, 1]",7.09,5,7.5
7,0,plank_seconds,4,"[53, 52, 51, 51]",10,207,62.1
7,0,pushups,4,"[6, 4, 4, 3]",8.19,17,17
7,0,squats,4,"[12, 12, 11, 9]",10,44,30.8
7,0,situps,4,"[2, 1, 1, 1]",7.09,5,7.5
7,0,plank_seconds,4,"[54, 52, 52, 50]",10,208,62.4
8,0,pushups,4,"[4, 3, 3, 1]",8.28,11,11
8,0,squats,4,"[10, 8, 7, 6]",10,31,21.7
8,0,situps,4,"[1, 1, 1, 1]",6.91,4,6
8,0,plank_seconds,4,"[43, 42, 40, 40]",10,165,49.5
8,0,pushups,4,"[4, 4, 2, 1]",8.28,11,11
8,0,squats,4,"[9, 9, 8, 6]",10,32,22.4
8,0,situps,4,"[2, 1, 1, 1]",6.91,5,7.5
8,0,plank_seconds,4,"[42, 42, 40, 39]",10,163,48.9
9,0,pushups,4,"[15, 15, 13, 13]",8.34,56,56
9,0,squats,4,"[32, 29, 29, 29]",10,119,83.3
9,0,situps,4,"[7, 7, 5, 5]",7.17,24,36
9,0,plank_seconds,4,"[135, 135, 134, 133]",10,537,161.1
9,0,pushups,4,"[15, 14, 13, 13]",8.34,55,55
9,0,squats,4,"[31, 31, 31, 29]",10,122,85.4
9,0,situps,4,"[7, 7, 5, 3]",7.17,22,33
9,0,plank_seconds,4,"[135, 134, 133, 133]",10,535,160.5
9,0,pushups,4,"[16, 15, 13, 13]",8.34,57,57
9,0,squats,4,"[30, 31, 30, 28]",10,119,83.3
9,0,situps,4,"[8, 7, 5, 5]",7.17,25,37.5
9,0,plank_seconds,4,"[137, 135, 134, 132]",10,538,161.4
10,0,pushups,4,"[4, 2, 2, 1]",8.04,9,9
10,0,squats,4,"[9, 8, 7, 5]",10,29,20.3
10,0,situps,4,"[1, 1, 1, 1]",7.02,4,6
10,0,plank_seconds,4,"[39, 37, 37, 36]",10,149,44.7
10,0,pushups,4,"[4, 3, 1, 1]",8.04,9,9
10,0,squats,4,"[8, 8, 7, 5]",10,28,19.6
10,0,situps,4,"[2, 1, 1, 1]",7.02,5,7.5
10,0,plank_seconds,4,"[39, 38, 37, 36]",10,150,45
10,0,pushups,4,"[3, 3, 2, 1]",8.04,9,9
10,0,squats,4,"[9, 7, 6, 5]",10,27,18.9
10,0,situps,4,"[2, 1, 1, 1]",7.02,5,7.5
10,0,plank_seconds,4,"[38, 37, 36, 35]",10,146,43.8
11,0,pushups,4,"[5, 3, 2, 1]",8.19,11,11
11,0,squats,4,"[10, 8, 7, 6]",10,31,21.7
11,0,situps,4,"[1, 1, 1, 1]",6.87,4,6
11,0,plank_seconds,4,"[45, 44, 43, 41]",10,173,51.9
11,0,pushups,4,"[4, 5, 3, 2]",8.19,14,14
11,0,squats,4,"[9, 9, 7, 6]",10,31,21.7
11,0,situps,4,"[1, 1, 1, 1]",6.87,4,6
11,0,plank_seconds,4,"[45, 43, 43, 40]",10,171,51.3
12,0,pushups,4,"[11, 8, 8, 7]",8.33,34,34
12,0,squats,4,"[21, 20, 19, 19]",10,79,55.3
12,0,situps,4,"[5, 4, 3, 1]",7.06,13,19.5
12,0,plank_seconds,4,"[93, 93, 91, 91]",10,368,110.4
12,0,pushups,4,"[10, 9, 9, 8]",8.33,36,36
12,0,squats,4,"[21, 21, 19, 19]",10,80,56
12,0,situps,4,"[5, 3, 3, 1]",7.06,12,18
12,0,plank_seconds,4,"[94, 92, 91, 91]",10,368,110.4
13,0,pushups,4,"[2, 1, 1, 1]",8,5,5
13,0,squats,4,"[7, 4, 5, 4]",10,20,14
13,0,situps,4,"[1, 1, 1, 1]",6.67,4,6
13,0,plank_seconds,4,"[29, 28, 27, 25]",10,109,32.7
13,0,pushups,4,"[2, 2, 1, 1]",8,6,6
13,0,squats,4,"[7, 6, 4, 4]",10,21,14.7
13,0,situps,4,"[1, 1, 1, 1]",6.67,4,6
13,0,plank_seconds,4,"[28, 28, 26, 26]",10,108,32.4
13,0,pushups,4,"[3, 2, 1, 1]",8,7,7
13,0,squats,4,"[7, 5, 4, 3]",10,19,13.3
13,0,situps,4,"[1, 1, 1, 1]",6.67,4,6
13,0,plank_seconds,4,"[28, 27, 26, 25]",10,106,31.8
14,0,pushups,4,"[9, 9, 7, 8]",8.31,33,33
14,0,squats,4,"[20, 19, 17, 17]",10,73,51.1
14,0,situps,4,"[4, 4, 4, 1]",7.15,13,19.5
14,0,plank_seconds,4,"[86, 84, 83, 83]",10,336,100.8
14,0,pushups,4,"[9, 9, 8, 6]",8.31,32,32
14,0,squats,4,"[20, 19, 18, 16]",10,73,51.1
14,0,situps,4,"[4, 3, 2, 2]",7.15,11,16.5
14,0,plank_seconds,4,"[86, 84, 84, 83]",10,337,101.1
14,0,pushups,4,"[10, 9, 8, 7]",8.31,34,34
14,0,squats,4,"[19, 18, 18, 17]",10,72,50.4
14,0,situps,4,"[5, 3, 2, 2]",7.15,12,18
14,0,plank_seconds,4,"[85, 85, 84, 83]",10,337,101.1
15,0,pushups,4,"[2, 2, 1, 1]",7.81,6,6
15,0,squats,4,"[6, 6, 4, 4]",10,20,14
15,0,situps,4,"[1, 1, 1, 1]",6.6,4,6
15,0,plank_seconds,4,"[33, 32, 30, 30]",10,125,37.5
15,0,pushups,4,"[3, 2, 1, 1]",7.81,7,7
15,0,squats,4,"[7, 7, 4, 3]",10,21,14.7
15,0,situps,4,"[1, 1, 1, 1]",6.6,4,6
15,0,plank_seconds,4,"[32, 31, 30, 29]",10,122,36.6
15,0,pushups,4,"[2, 1, 1, 1]",7.81,5,5
15,0,squats,4,"[6, 6, 4, 3]",10,19,13.3
15,0,situps,4,"[1, 1, 1, 1]",6.6,4,6
15,0,plank_seconds,4,"[33, 32, 32, 29]",10,126,37.8
16,0,pushups,4,"[4, 3, 2, 2]",8.33,11,11
16,0,squats,4,"[10, 8, 7, 7]",10,32,22.4
16,0,situps,4,"[1, 1, 1, 1]",6.93,4,6
16,0,plank_seconds,4,"[42, 41, 39, 38]",10,160,48
16,0,pushups,4,"[5, 4, 3, 3]",8.33,15,15
16,0,squats,4,"[9, 8, 7, 6]",10,30,21
16,0,situps,4,"[1, 1, 1, 1]",6.93,4,6
16,0,plank_seconds,4,"[41, 41, 41, 38]",10,161,48.3
16,0,pushups,4,"[4, 4, 3, 2]",8.33,13,13
16,0,squats,4,"[10, 8, 8, 7]",10,33,23.1
16,0,situps,4,"[2, 1, 1, 1]",6.93,5,7.5
16,0,plank_seconds,4,"[42, 41, 39, 39]",10,161,48.3
17,0,pushups,4,"[7, 7, 5, 5]",8.38,24,24
17,0,squats,4,"[16, 15, 14, 12]",10,57,39.9
17,0,situps,4,"[4, 3, 3, 1]",7.19,11,16.5
17,0,plank_seconds,4,"[67, 66, 65, 63]",10,261,78.3
17,0,pushups,4,"[8, 7, 6, 4]",8.38,25,25
17,0,squats,4,"[16, 15, 13, 13]",10,57,39.9
17,0,situps,4,"[3, 3, 1, 1]",7.19,8,12
17,0,plank_seconds,4,"[67, 66, 64, 63]",10,260,78
18,0,pushups,4,"[8, 6, 7, 5]",8.31,26,26
18,0,squats,4,"[17, 17, 16, 14]",10,64,44.8
18,0,situps,4,"[3, 3, 2, 1]",7.03,9,13.5
18,0,plank_seconds,4,"[77, 75, 74, 73]",10,299,89.7
18,0,pushups,4,"[8, 8, 6, 6]",8.31,28,28
18,0,squats,4,"[17, 17, 15, 15]",10,64,44.8
18,0,situps,4,"[4, 3, 2, 1]",7.03,10,15
18,0,plank_seconds,4,"[77, 76, 75, 74]",10,302,90.6
18,0,pushups,4,"[8, 8, 6, 6]",8.31,28,28
18,0,squats,4,"[17, 16, 16, 14]",10,63,44.1
18,0,situps,4,"[4, 2, 1, 1]",7.03,8,12
18,0,plank_seconds,4,"[76, 74, 74, 74]",10,298,89.4
19,0,pushups,4,"[3, 1, 1, 1]",8.23,6,6
19,0,squats,4,"[5, 5, 4, 2]",10,16,11.2
19,0,situps,4,"[1, 1, 1, 1]",6.74,4,6
19,0,plank_seconds,4,"[25, 24, 23, 23]",10,95,28.5
19,0,pushups,4,"[3, 1, 1, 1]",8.23,6,6
19,0,squats,4,"[6, 5, 3, 3]",10,17,11.9
19,0,situps,4,"[1, 1, 1, 1]",6.74,4,6
19,0,plank_seconds,4,"[25, 25, 24, 24]",10,98,29.4
19,0,pushups,4,"[2, 2, 1, 1]",8.23,6,6
19,0,squats,4,"[5, 4, 4, 3]",10,16,11.2
19,0,situps,4,"[1, 1, 1, 1]",6.74,4,6
19,0,plank_seconds,4,"[26, 25, 24, 23]",10,98,29.4
20,0,pushups,4,"[2, 1, 1, 1]",8.17,5,5
20,0,squats,4,"[5, 5, 3, 2]",10,15,10.5
20,0,situps,4,"[1, 1, 1, 1]",6.72,4,6
20,0,plank_seconds,4,"[27, 25, 24, 24]",10,100,30
20,0,pushups,4,"[3, 1, 1, 1]",8.17,6,6
20,0,squats,4,"[5, 5, 4, 3]",10,17,11.9
20,0,situps,4,"[1, 1, 1, 1]",6.72,4,6
20,0,plank_seconds,4,"[27, 25, 25, 22]",10,99,29.7
21,0,pushups,4,"[8, 7, 6, 5]",8.19,26,26
21,0,squats,4,"[19, 17, 17, 15]",10,68,47.6
21,0,situps,4,"[4, 3, 1, 1]",6.97,9,13.5
21,0,plank_seconds,4,"[81, 80, 79, 79]",10,319,95.7
21,0,pushups,4,"[9, 7, 6, 5]",8.19,27,27
21,0,squats,4,"[20, 18, 17, 16]",10,71,49.7
21,0,situps,4,"[4, 2, 1, 1]",6.97,8,12
21,0,plank_seconds,4,"[81, 81, 80, 79]",10,321,96.3
21,0,pushups,4,"[8, 8, 6, 6]",8.19,28,28
21,0,squats,4,"[19, 18, 15, 17]",10,69,48.3
21,0,situps,4,"[3, 3, 1, 1]",6.97,8,12
21,0,plank_seconds,4,"[81, 80, 80, 78]",10,319,95.7
22,0,pushups,4,"[6, 5, 4, 3]",8.4,18,18
22,0,squats,4,"[13, 10, 10, 9]",10,42,29.4
22,0,situps,4,"[3, 2, 1, 1]",7.2,7,10.5
22,0,plank_seconds,4,"[50, 48, 48, 46]",10,192,57.6
22,0,pushups,4,"[5, 5, 4, 3]",8.4,17,17
22,0,squats,4,"[12, 11, 9, 9]",10,41,28.7
22,0,situps,4,"[3, 1, 1, 1]",7.2,6,9
22,0,plank_seconds,4,"[49, 49, 47, 47]",10,192,57.6
22,0,pushups,4,"[5, 5, 3, 2]",8.4,15,15
22,0,squats,4,"[12, 10, 9, 7]",10,38,26.6
22,0,situps,4,"[2, 1, 1, 1]",7.2,5,7.5
22,0,plank_seconds,4,"[49, 50, 48, 46]",10,193,57.9
23,0,pushups,4,"[8, 5, 4, 4]",8.38,21,21
23,0,squats,4,"[15, 13, 12, 11]",10,51,35.7
23,0,situps,4,"[3, 2, 1, 1]",7.02,7,10.5
23,0,plank_seconds,4,"[57, 56, 55, 54]",10,222,66.6
23,0,pushups,4,"[6, 5, 4, 4]",8.38,19,19
23,0,squats,4,"[14, 13, 11, 10]",10,48,33.6
23,0,situps,4,"[3, 1, 1, 1]",7.02,6,9
23,0,plank_seconds,4,"[57, 57, 55, 54]",10,223,66.9
24,0,pushups,4,"[3, 3, 1, 1]",8.05,8,8
24,0,squats,4,"[9, 8, 7, 5]",10,29,20.3
24,0,situps,4,"[2, 1, 1, 1]",7.03,5,7.5
24,0,plank_seconds,4,"[37, 36, 35, 35]",10,143,42.9
24,0,pushups,4,"[3, 2, 1, 1]",8.05,7,7
24,0,squats,4,"[8, 8, 6, 6]",10,28,19.6
24,0,situps,4,"[1, 2, 1, 1]",7.03,5,7.5
24,0,plank_seconds,4,"[38, 37, 35, 34]",10,144,43.2
25,0,pushups,4,"[8, 8, 8, 5]",8.29,29,29
25,0,squats,4,"[17, 16, 17, 14]",10,64,44.8
25,0,situps,4,"[4, 3, 1, 1]",7.02,9,13.5
25,0,plank_seconds,4,"[78, 76, 75, 74]",10,303,90.9
25,0,pushups,4,"[8, 7, 6, 6]",8.29,27,27
25,0,squats,4,"[17, 17, 15, 15]",10,64,44.8
25,0,situps,4,"[4, 2, 2, 1]",7.02,9,13.5
25,0,plank_seconds,4,"[77, 77, 76, 74]",10,304,91.2
26,0,pushups,4,"[6, 5, 4, 2]",8.34,17,17
26,0,squats,4,"[12, 10, 9, 8]",10,39,27.3
26,0,situps,4,"[2, 2, 1, 1]",7.17,6,9
26,0,plank_seconds,4,"[50, 49, 49, 48]",10,196,58.8
26,0,pushups,4,"[7, 5, 4, 2]",8.34,18,18
26,0,squats,4,"[12, 10, 10, 9]",10,41,28.7
26,0,situps,4,"[2, 1, 1, 1]",7.17,5,7.5
26,0,plank_seconds,4,"[50, 48, 49, 49]",10,196,58.8
26,0,pushups,4,"[5, 5, 4, 2]",8.34,16,16
26,0,squats,4,"[12, 10, 10, 9]",10,41,28.7
26,0,situps,4,"[2, 2, 1, 1]",7.17,6,9
26,0,plank_seconds,4,"[51, 49, 49, 47]",10,196,58.8
27,0,pushups,4,"[8, 6, 6, 5]",8.22,25,25
27,0,squats,4,"[17, 16, 14, 13]",10,60,42
27,0,situps,4,"[3, 2, 1, 1]",7.11,7,10.5
27,0,plank_seconds,4,"[72, 70, 70, 69]",10,281,84.3
27,0,pushups,4,"[7, 6, 5, 4]",8.22,22,22
27,0,squats,4,"[17, 16, 15, 13]",10,61,42.7
27,0,situps,4,"[4, 3, 1, 1]",7.11,9,13.5
27,0,plank_seconds,4,"[71, 70, 70, 69]",10,280,84
28,0,pushups,4,"[4, 3, 2, 1]",7.96,10,10
28,0,squats,4,"[7, 8, 6, 5]",10,26,18.2
28,0,situps,4,"[1, 1, 1, 1]",6.98,4,6
28,0,plank_seconds,4,"[39, 37, 37, 37]",10,150,45
28,0,pushups,4,"[3, 3, 1, 1]",7.96,8,8
28,0,squats,4,"[9, 7, 7, 5]",10,28,19.6
28,0,situps,4,"[1, 1, 1, 1]",6.98,4,6
28,0,plank_seconds,4,"[39, 39, 37, 36]",10,151,45.3
29,0,pushups,4,"[3, 2, 2, 1]",8.12,8,8
29,0,squats,4,"[9, 8, 6, 7]",10,30,21
29,0,situps,4,"[1, 1, 1, 1]",7.06,4,6
29,0,plank_seconds,4,"[37, 36, 34, 34]",10,141,42.3
29,0,pushups,4,"[3, 4, 2, 1]",8.12,10,10
29,0,squats,4,"[9, 7, 6, 6]",10,28,19.6
29,0,situps,4,"[1, 1, 1, 1]",7.06,4,6
29,0,plank_seconds,4,"[37, 36, 34, 33]",10,140,42
29,0,pushups,4,"[4, 2, 1, 1]",8.12,8,8
29,0,squats,4,"[9, 8, 8, 5]",10,30,21
29,0,situps,4,"[2, 1, 1, 1]",7.06,5,7.5
29,0,plank_seconds,4,"[37, 36, 35, 33]",10,141,42.3
0,1,pushups,4,"[4, 3, 4, 1]",8.05,12,12
0,1,squats,4,"[10, 9, 9, 8]",10,36,25.2
0,1,situps,4,"[2, 1, 1, 1]",6.82,5,7.5
0,1,plank_seconds,4,"[47, 47, 46, 45]",10,185,55.5
0,1,pushups,4,"[5, 4, 3, 1]",8.05,13,13
0,1,squats,4,"[11, 9, 8, 8]",10,36,25.2
0,1,situps,4,"[2, 1, 1, 1]",6.82,5,7.5
0,1,plank_seconds,4,"[48, 48, 46, 44]",10,186,55.8
0,1,pushups,4,"[5, 4, 3, 2]",8.05,14,14
0,1,squats,4,"[10, 9, 8, 7]",10,34,23.8
0,1,situps,4,"[1, 1, 1, 1]",6.82,4,6
0,1,plank_seconds,4,"[47, 47, 46, 44]",10,184,55.2
1,1,pushups,4,"[4, 2, 2, 1]",8.19,9,9
1,1,squats,4,"[8, 6, 5, 5]",10,24,16.8
1,1,situps,4,"[1, 1, 1, 1]",7.1,4,6
1,1,plank_seconds,4,"[36, 34, 33, 32]",10,135,40.5
1,1,pushups,4,"[4, 2, 3, 1]",8.19,10,10
1,1,squats,4,"[8, 7, 7, 6]",10,28,19.6
1,1,situps,4,"[2, 1, 1, 1]",7.1,5,7.5
1,1,plank_seconds,4,"[35, 34, 33, 32]",10,134,40.2
1,1,pushups,4,"[3, 3, 2, 1]",8.19,9,9
1,1,squats,4,"[8, 6, 5, 4]",10,23,16.1
1,1,situps,4,"[1, 1, 1, 1]",7.1,4,6
1,1,plank_seconds,4,"[36, 34, 34, 33]",10,137,41.1
2,1,pushups,4,"[15, 14, 13, 13]",8.29,55,55
2,1,squats,4,"[33, 32, 30, 29]",10,124,86.8
2,1,situps,4,"[8, 6, 6, 4]",7.14,24,36
2,1,plank_seconds,4,"[138, 137, 137, 135]",10,547,164.1
3,1,pushups,4,"[4, 4, 4, 3]",8.39,15,15
3,1,squats,4,"[11, 10, 10, 8]",10,39,27.3
3,1,situps,4,"[3, 2, 1, 1]",7.19,7,10.5
3,1,plank_seconds,4,"[49, 48, 47, 46]",10,190,57
3,1,pushups,4,"[6, 5, 3, 3]",8.39,17,17
3,1,squats,4,"[11, 10, 9, 7]",10,37,25.9
3,1,situps,4,"[3, 2, 1, 1]",7.19,7,10.5
3,1,plank_seconds,4,"[50, 48, 47, 47]",10,192,57.6
4,1,pushups,4,"[12, 10, 10, 8]",8.31,40,40
4,1,squats,4,"[23, 23, 21, 20]",10,87,60.9
4,1,situps,4,"[6, 5, 3, 3]",7.15,17,25.5
4,1,plank_seconds,4,"[103, 102, 101, 99]",10,405,121.5
4,1,pushups,4,"[11, 11, 9, 7]",8.31,38,38
4,1,squats,4,"[24, 23, 20, 20]",10,87,60.9
4,1,situps,4,"[6, 6, 4, 2]",7.15,18,27
4,1,plank_seconds,4,"[102, 102, 100, 99]",10,403,120.9
4,1,pushups,4,"[11, 10, 10, 9]",8.31,40,40
4,1,squats,4,"[24, 22, 21, 20]",10,87,60.9
4,1,situps,4,"[6, 4, 3, 4]",7.15,17,25.5
4,1,plank_seconds,4,"[103, 101, 100, 100]",10,404,121.2
5,1,pushups,4,"[5, 5, 3, 3]",8.31,16,16
5,1,squats,4,"[12, 10, 10, 9]",10,41,28.7
5,1,situps,4,"[3, 2, 1, 1]",7.16,7,10.5
5,1,plank_seconds,4,"[51, 49, 48, 47]",10,195,58.5
5,1,pushups,4,"[6, 6, 3, 3]",8.31,18,18
5,1,squats,4,"[12, 10, 10, 8]",10,40,28
5,1,situps,4,"[3, 1, 1, 1]",7.16,6,9
5,1,plank_seconds,4,"[52, 50, 49, 48]",10,199,59.7
5,1,pushups,4,"[5, 5, 3, 3]",8.31,16,16
5,1,squats,4,"[12, 10, 10, 9]",10,41,28.7
5,1,situps,4,"[2, 1, 1, 1]",7.16,5,7.5
5,1,plank_seconds,4,"[50, 49, 48, 48]",10,195,58.5
6,1,pushups,4,"[13, 12, 11, 10]",8.26,46,46
6,1,squats,4,"[29, 27, 27, 26]",10,109,76.3
6,1,situps,4,"[7, 5, 5, 3]",7.13,20,30
6,1,plank_seconds,4,"[122, 122, 120, 120]",10,484,145.2
7,1,pushups,4,"[6, 5, 3, 3]",8.19,17,17
7,1,squats,4,"[12, 12, 10, 10]",10,44,30.8
7,1,situps,4,"[3, 1, 1, 1]",7.09,6,9
7,1,plank_seconds,4,"[54, 53, 52, 51]",10,210,63
7,1,pushups,4,"[6, 5, 3, 3]",8.19,17,17
7,1,squats,4,"[13, 11, 10, 10]",10,44,30.8
7,1,situps,4,"[2, 1, 1, 1]",7.09,5,7.5
7,1,plank_seconds,4,"[53, 53, 52, 51]",10,209,62.7
7,1,pushups,4,"[5, 5, 3, 3]",8.19,16,16
7,1,squats,4,"[13, 11, 11, 9]",10,44,30.8
7,1,situps,4,"[3, 2, 1, 1]",7.09,7,10.5
7,1,plank_seconds,4,"[53, 52, 51, 51]",10,207,62.1
8,1,pushups,4,"[4, 3, 3, 2]",8.28,12,12
8,1,squats,4,"[9, 8, 8, 7]",10,32,22.4
8,1,situps,4,"[1, 1, 1, 1]",6.91,4,6
8,1,plank_seconds,4,"[43, 42, 39, 40]",10,164,49.2
9,1,pushups,4,"[15, 15, 14, 12]",8.34,56,56
9,1,squats,4,"[32, 31, 30, 29]",10,122,85.4
9,1,situps,4,"[8, 7, 5, 4]",7.17,24,36
9,1,plank_seconds,4,"[135, 136, 133, 133]",10,537,161.1
9,1,pushups,4,"[16, 15, 14, 12]",8.34,57,57
9,1,squats,4,"[32, 30, 29, 28]",10,119,83.3
9,1,situps,4,"[7, 6, 5, 4]",7.17,22,33
9,1,plank_seconds,4,"[135, 134, 134, 133]",10,536,160.8
9,1,pushups,4,"[15, 14, 13, 13]",8.34,55,55
9,1,squats,4,"[32, 30, 30, 28]",10,120,84
9,1,situps,4,"[8, 7, 5, 4]",7.17,24,36
9,1,plank_seconds,4,"[135, 135, 134, 133]",10,537,161.1
10,1,pushups,4,"[3, 2, 1, 1]",8.04,7,7
10,1,squats,4,"[9, 8, 6, 6]",10,29,20.3
10,1,situps,4,"[1, 1, 1, 1]",7.02,4,6
10,1,plank_seconds,4,"[38, 37, 35, 35]",10,145,43.5
10,1,pushups,4,"[3, 2, 1, 1]",8.04,7,7
10,1,squats,4,"[8, 7, 7, 6]",10,28,19.6
10,1,situps,4,"[1, 1, 1, 1]",7.02,4,6
10,1,plank_seconds,4,"[39, 38, 37, 36]",10,150,45
10,1,pushups,4,"[3, 3, 1, 1]",8.04,8,8
10,1,squats,4,"[8, 7, 6, 5]",10,26,18.2
10,1,situps,4,"[1, 1, 1, 1]",7.02,4,6
10,1,plank_seconds,4,"[39, 37, 37, 36]",10,149,44.7
11,1,pushups,4,"[5, 3, 3, 2]",8.19,13,13
11,1,squats,4,"[9, 9, 7, 7]",10,32,22.4
11,1,situps,4,"[2, 1, 1, 1]",6.87,5,7.5
11,1,plank_seconds,4,"[44, 44, 42, 42]",10,172,51.6
11,1,pushups,4,"[5, 3, 2, 1]",8.19,11,11
11,1,squats,4,"[9, 8, 8, 7]",10,32,22.4
11,1,situps,4,"[2, 1, 1, 1]",6.87,5,7.5
11,1,plank_seconds,4,"[44, 44, 43, 41]",10,172,51.6
11,1,pushups,4,"[4, 3, 3, 1]",8.19,11,11
11,1,squats,4,"[10, 8, 7, 7]",10,32,22.4
